Group,Species number,Genus_species,Allonursing,"Communal nesting, babysitting, retrieval",Protection,provisioning_Male,provisioning_others,carryng_Male ,carrying_others,PC1,PC2,Provisioning mothers,Gregariousness,Diet,Activity,Substrate,Body mass [g],Brain size [g or cc],Fertility [offspring per year],Gestation length [d],Weaning age [d],Age at first reproduction [y],Maximum lifespan [y],Remarks
Primates,299,Trachypithecus_geei,0,0.1,0.5,0,0,0,0,-0.228,-0.187,,2,4,2,4,9500,81.3,,,,,,one observation of transfer to another adult female
Primates,310,Hylobates_syndactylus,0,0.5,1,0.5,0.5,0.5,0,2.256,-0.902,,1.5,2,2,4,11295,123.5,0.24,232,639,9,43,
Primates,289,Theropithecus_gelada,0,0.5,0.5,0,0,0.1,0,0.155,-0.247,,2,4,2,3,11700,124.5,0.47,170,450,4,35.5,
Primates,305,Pan_paniscus,0,0.5,0.5,0.05,0,0,0,0.004,0.057,,2,3,2,3,33200,326.3,0.23,231,1094,14.2,54.5,adoption and allosuckling if mother died
Primates,308,Pongo_pygmaeus,0,0,0,0,0,0,0,-0.539,-0.405,,0.5,2,2,4,36948,337.7,0.14,250,1936,15.7,56.2,
Primates,307,Pongo_abelii,0,0,0,0,0,0,0,-0.539,-0.405,,0.5,2,2,4,41148,341.2,0.11,243,2009,15.4,59,
Primates,303,Gorilla_gorilla,0,0.5,0.5,0,0,0.05,0,0.055,-0.099,,2,4,2,3,71500,455.9,0.2,257,1278,10.2,55,
Primates,304,Gorilla_beringei,0,0.5,0.5,0,0,0.05,0,0.055,-0.099,,2,4,2,3,97500,480.2,,,,10,,
Primates,314,Microcebus_murinus,0.1,0.5,0.5,0,0,0,0,-0.063,1.181,,2,3,1,4,65.1,1.6,1.9,60.2,40.1,1.75,18.2,"allonursing, but only mother carries (Eberle and Kappeler 2006); 2-9 females sleep together"
Primates,284,Miopithecus_talapoin,0.1,0,0.5,0,0,0,0,-0.292,0.886,,2,3,2,4,1560,34.8,1,167,183,4.46,27,
Primates,282,Macaca_radiata,0.1,0.5,0.5,0,0,0.05,0,0.037,1.033,,2,3,2,3,3856,69.4,0.78,168,365,4,30,"carrying by mostly subadult females, mostly infants of low ranking mothers, 0 infant transfers"
Primates,300,Trachypithecus_johnii,0.1,0.5,0.5,0,0,0,0,-0.063,1.181,,2,4,2,4,11600,84.6,0.57,,319,,34,"transfer to adult females up to 49 days, occasional allosuckling, babysitting (19 times); adult males do not interact with females or offspring"
