species,island,pattern,numcols,domcol
ventrimaculatus,Mainland,striped,3,red
festae,Mainland,gradient,2,white
chloris,Mainland,solid,2,white
peraccae,Mainland,solid,1,white
huilae,Mainland,stiped,3,yellow
extremus,SmallIsland,striped,2,yellow
roquet,SmallIsland,striped,2,yellow
richardi,SmallIsland,gradient,2,white
trinitatus,SmallIsland,solid,1,yellow
luciae,SmallIsland,solid,2,black
fitchi,Mainland,marginal,3,yellow
podocarpus,Mainland,solid,2,black
calimae,Mainland,solid,1,yellow
tigrinus,Mainland,gradient,3,yellow
punctatus,Mainland,solid,2,yellow
transversalis,Mainland,striped,3,yellow
vanzolinii,Mainland,solid,3,red
heterodermus,Mainland,marginal,3,white
