species_complete,vocal_learning,log_adult_weight,log_weaning_days,female_maturity_log,male_maturity_log,max_longevity,average_maturity_log,avg_maturity_per_longevity
connochaetes gnou,no_info,11.792449349720545,5.429345628954441,6.637258031284457,6.999422467507961,3.0819099697950434,6.8183402493962095,2.2123748961588423
connochaetes taurinus,no_info,12.010665849187564,5.627621113690637,6.018593214496234,6.815639990074331,3.190476350346503,6.417116602285283,2.0113349536624368
damaliscus lunatus,no_info,11.608235644774552,,6.459904454377535,,3.5553480614894135,6.459904454377535,1.816954161070615
damaliscus pygargus,no_info,11.344506813345266,5.0238805208462765,6.561030665896573,,3.1354942159291497,6.561030665896573,2.0925028764412263
eudorcas rufifrons,no_info,9.616538544660177,,5.8998973535824915,,2.6741486494265287,5.8998973535824915,2.206271276223827
eudorcas thomsonii,no_info,10.126631103850338,4.624972813284271,5.8998973535824915,5.19295685089021,2.995732273553991,5.5464271022363505,1.8514428512853518
gazella bennettii,no_info,9.847800408788524,,6.184148890937483,6.456769655572163,,6.320459273254823,
gazella cuvieri,no_info,9.769956159911606,,5.855071922202427,5.19295685089021,2.884800712846709,5.524014386546319,1.9148686292077504
gazella dorcas,no_info,9.581903928408666,4.406719247264253,6.593044534142437,6.3784261836515865,3.1654750481410856,6.485735358897012,2.048897956945116
gazella gazella,no_info,10.054060411015502,4.477336814478207,6.16541785423142,6.529418838262226,2.9069010598473755,6.3474183462468226,2.183568761222334
gazella leptoceros,no_info,10.789319076925574,,5.056245805348308,,2.681021528714291,5.056245805348308,1.8859400236793615
gazella saudiya,no_info,10.379277533512283,,6.212606095751519,6.456769655572163,3.044522437723423,6.3346878756618406,2.0806835900341327
gazella spekei,no_info,9.903487552536127,,6.236369590203704,,,6.236369590203704,
gazella subgutturosa,no_info,10.789319076925574,4.663439094112067,6.470799503782602,6.61472560020376,2.791165107812717,6.542762551993182,2.344097285280406
hemitragus hylocrius,no_info,11.225243392518447,5.0238805208462765,6.505784060128229,,2.8507065015037334,6.505784060128229,2.282165511144855
hemitragus jayakari,no_info,10.043249494911286,,,,,,
hemitragus jemlahicus,no_info,10.468801361586188,5.017279836814924,6.304448802421981,6.593044534142437,3.1780538303479458,6.448746668282209,2.0291496030374585
hippotragus equinus,no_info,12.323855681186558,5.209486152841421,6.593044534142437,6.70196036600254,3.254242968705492,6.647502450072489,2.0427185413008067
hippotragus niger,no_info,12.323855681186558,5.3612921657094255,6.643789733147672,7.076653815443951,3.100092288878234,6.860221774295812,2.2129088862635693
kobus ellipsiprymnus,no_info,12.074442301909246,5.3612921657094255,6.647688373563329,,3.4011973816621555,6.647688373563329,1.9545141394630332
kobus kob,no_info,11.56171562913966,5.241747015059643,5.998936561946683,5.8998973535824915,3.086486636822455,5.949416957764587,1.927569323251477
kobus leche,no_info,11.459524688243112,4.919980925828125,6.8001700683022,6.956545443151569,3.295836866004329,6.878357755726885,2.086983681345183
kobus megaceros,no_info,11.407564949312402,,6.593044534142437,6.593044534142437,3.0492730404820207,6.593044534142437,2.162169293012943
